date,price
2021-03-29,47.32
2021-03-30,48.9
2021-03-31,48.28
2021-04-01,48.83
2021-04-05,50.25
2021-04-06,51.65
2021-04-07,50.2
2021-04-08,49.81
2021-04-09,49.27
2021-04-12,48.82
2021-04-13,48.26
2021-04-14,48.17
2021-04-15,46.82
2021-04-16,46.64
2021-04-19,46.15
2021-04-20,44.45
2021-04-21,45.7
2021-04-22,44.65
2021-04-23,45.8
2021-04-26,46.61
2021-04-27,46.34
2021-04-28,46.44
2021-04-29,46.38
2021-04-30,46.92
2021-05-03,46.57
2021-05-04,44.66
2021-05-05,45.2
2021-05-06,44.93
2021-05-07,46.11
2021-05-10,45.43
2021-05-11,44.52
2021-05-12,43.03
2021-05-13,43.97
2021-05-14,46.31
2021-05-17,46.75
2021-05-18,46.73
2021-05-19,46.14
2021-05-20,45.41
2021-05-21,45.21
2021-05-24,46.17
2021-05-25,46.67
2021-05-26,47.49
2021-05-27,48.05
2021-05-28,47.68
2021-06-01,47.7
2021-06-02,47.77
2021-06-03,46.13
2021-06-04,45.98
2021-06-07,46.08
2021-06-08,47.04
2021-06-09,46.52
2021-06-10,46.28
2021-06-11,46.5
2021-06-14,45.9
2021-06-15,45.53
2021-06-16,45.52
2021-06-17,44.57
2021-06-18,44.96
2021-06-21,45.77
2021-06-22,45.37
2021-06-23,45.27
2021-06-24,44.91
2021-06-25,44.43
2021-06-28,43.12
2021-06-29,42.87
2021-06-30,43.26
2021-07-01,44.23
2021-07-02,44.15
2021-07-06,43.24
2021-07-07,42.54
2021-07-08,42.07
2021-07-09,42.92
2021-07-12,42.85
2021-07-13,41.33
2021-07-14,40.68
2021-07-15,41.35
2021-07-16,40.06
2021-07-19,38.56
2021-07-20,40.66
2021-07-21,41.61
2021-07-22,41.06
2021-07-23,40.41
2021-07-26,41.67
2021-07-27,40.96
2021-07-28,41.3
2021-07-29,41.23
2021-07-30,39.9
2021-08-02,39.45
2021-08-03,39.77
2021-08-04,38.35
2021-08-05,39.99
2021-08-06,40.32
2021-08-09,39.29
2021-08-10,40.46
2021-08-11,41.3
2021-08-12,40.53
2021-08-13,39.9
2021-08-16,39.93
2021-08-17,38.78
2021-08-18,38.65
2021-08-19,37.93
2021-08-20,38.12
2021-08-23,39.21
2021-08-24,40.53
2021-08-25,41.3
2021-08-26,40.77
2021-08-27,41.52
2021-08-30,39.91
2021-08-31,40.44
2021-09-01,40.4
2021-09-02,40.82
2021-09-03,40.25
2021-09-07,40.35
2021-09-08,39.65
2021-09-09,41.09
2021-09-10,39.36
2021-09-13,40.18
2021-09-14,39.44
2021-09-15,39.64
2021-09-16,40.22
2021-09-17,40.11
2021-09-20,40.78
2021-09-21,40.36
2021-09-22,41.59
2021-09-23,42.59
2021-09-24,43.53
2021-09-27,43.78
2021-09-28,43.44
2021-09-29,43.36
2021-09-30,42.61
2021-10-01,45.38
2021-10-04,44.96
2021-10-05,44.74
2021-10-06,44.02
2021-10-07,43.68
2021-10-08,43.38
2021-10-11,43.19
2021-10-12,43.54
2021-10-13,41.03
2021-10-14,41.2
2021-10-15,40.99
2021-10-18,41.01
2021-10-19,40.45
2021-10-20,40.3
2021-10-21,40.4
2021-10-22,39.74
2021-10-25,39.51
2021-10-26,39.71
2021-10-27,39.07
2021-10-28,39.15
2021-10-29,39.13
2021-11-01,40.42
2021-11-02,40.39
2021-11-03,41.24
2021-11-04,40.99
2021-11-05,44.29
2021-11-08,44.65
2021-11-09,44.53
2021-11-10,43.71
2021-11-11,43.45
2021-11-12,42.22
2021-11-15,42.38
2021-11-16,41.04
2021-11-17,40.71
2021-11-18,40.12
2021-11-19,39.69
2021-11-22,39.77
2021-11-23,39.53
2021-11-24,39.69
2021-11-26,36.38
2021-11-29,36.24
2021-11-30,36.2
2021-12-01,33.53
2021-12-02,36.64
2021-12-03,35.98
2021-12-06,38.14
2021-12-07,38.04
2021-12-08,38.88
2021-12-09,38.5
2021-12-10,38.18
2021-12-13,36.87
2021-12-14,36.53
2021-12-15,36.61
2021-12-16,35.8
2021-12-17,36.56
2021-12-20,36.37
2021-12-21,38.52
2021-12-22,39.13
2021-12-23,39.3
2021-12-27,39
2021-12-28,39.63
2021-12-29,39.16
2021-12-30,39.04
2021-12-31,39.08
2022-01-03,40.29
2022-01-04,40.59
2022-01-05,40.28
2022-01-06,40.11
2022-01-07,41.51
2022-01-10,40.63
2022-01-11,41.23
2022-01-12,40.61
2022-01-13,41.47
2022-01-14,40.31
2022-01-18,39.54
2022-01-19,38.82
2022-01-20,38.84
2022-01-21,37.86
2022-01-24,37.91
2022-01-25,38.72
2022-01-26,38.76
2022-01-27,38.34
2022-01-28,38.28
2022-01-31,39.69
2022-02-01,40.49
2022-02-02,40.52
2022-02-03,39.73
2022-02-04,39.85
2022-02-07,40.94
2022-02-08,42.61
2022-02-09,43.88
2022-02-10,43.9
2022-02-11,42.33
2022-02-14,41.97
2022-02-15,44.49
2022-02-16,44.41
2022-02-17,43.31
2022-02-18,42.84
2022-02-22,41.89
2022-02-23,40.19
2022-02-24,40.33
2022-02-25,41.54
2022-02-28,39.92
2022-03-01,37.64
2022-03-02,38.04
2022-03-03,36.56
2022-03-04,34.52
2022-03-07,30.11
2022-03-08,31.22
2022-03-09,32.76
2022-03-10,32.55
2022-03-11,32.07
2022-03-14,32.07
2022-03-15,34.86
2022-03-16,36.93
2022-03-17,37.15
2022-03-18,37.68
2022-03-21,36.09
2022-03-22,36.98
2022-03-23,36.22
2022-03-24,37.26
2022-03-25,37.91
